project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-LGG	d209cffc-fe21-4ae7-b610-e5668ea84a3b	TCGA-QH-A6X8	01ee4ea4-d1b1-4950-8d4b-d3644690e86f	TCGA-QH-A6X8-01A	291b06ad-94f4-422a-b877-efa7a1e46439	TCGA-QH-A6X8-01A-12	d53f134e-3d54-41b4-9d1b-c861cb7a4ae3	TCGA-QH-A6X8-01A-12R	1.9	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.33	8.0	UV Spec	released	'--
TCGA-LGG	d209cffc-fe21-4ae7-b610-e5668ea84a3b	TCGA-QH-A6X8	01ee4ea4-d1b1-4950-8d4b-d3644690e86f	TCGA-QH-A6X8-01A	291b06ad-94f4-422a-b877-efa7a1e46439	TCGA-QH-A6X8-01A-12	d82a1cba-e711-4cf8-b415-1ffc3106ebbf	TCGA-QH-A6X8-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	d209cffc-fe21-4ae7-b610-e5668ea84a3b	TCGA-QH-A6X8	e293d3f2-efe8-4117-a5a1-141517a0b9f4	TCGA-QH-A6X8-10B	7338ea39-9d52-4087-9e33-e28dabe23043	TCGA-QH-A6X8-10B-01	3c1b78db-8a40-4747-a31e-10404f57cf49	TCGA-QH-A6X8-10B-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	d209cffc-fe21-4ae7-b610-e5668ea84a3b	TCGA-QH-A6X8	e293d3f2-efe8-4117-a5a1-141517a0b9f4	TCGA-QH-A6X8-10B	7338ea39-9d52-4087-9e33-e28dabe23043	TCGA-QH-A6X8-10B-01	59e4f5c1-73ad-4c1d-b6b4-fc4526ed6627	TCGA-QH-A6X8-10B-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	71ec4c84-4aef-4c1f-ab07-dc264c5c0602	TCGA-TM-A84I	32f1f7dc-de51-4ab0-9e0f-963ccc97becb	TCGA-TM-A84I-10A	f09786a9-f205-4f92-91fb-555bbc9cd172	TCGA-TM-A84I-10A-01	559f7fa5-a711-4abd-8abd-4e6e12f7bfb5	TCGA-TM-A84I-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	71ec4c84-4aef-4c1f-ab07-dc264c5c0602	TCGA-TM-A84I	32f1f7dc-de51-4ab0-9e0f-963ccc97becb	TCGA-TM-A84I-10A	f09786a9-f205-4f92-91fb-555bbc9cd172	TCGA-TM-A84I-10A-01	631f8a08-ef79-4b4f-a6fa-c97abfd814ce	TCGA-TM-A84I-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	71ec4c84-4aef-4c1f-ab07-dc264c5c0602	TCGA-TM-A84I	52a94907-86f3-4651-857e-9d857a5ad43b	TCGA-TM-A84I-01A	706fe9e9-f8f3-4e4c-a786-1ac2186bb408	TCGA-TM-A84I-01A-11	1e2df9a1-c4f0-41d5-9638-9f99125aa574	TCGA-TM-A84I-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	71ec4c84-4aef-4c1f-ab07-dc264c5c0602	TCGA-TM-A84I	52a94907-86f3-4651-857e-9d857a5ad43b	TCGA-TM-A84I-01A	706fe9e9-f8f3-4e4c-a786-1ac2186bb408	TCGA-TM-A84I-01A-11	afd9a322-946d-45da-96eb-f92119f626a8	TCGA-TM-A84I-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	71ec4c84-4aef-4c1f-ab07-dc264c5c0602	TCGA-TM-A84I	52a94907-86f3-4651-857e-9d857a5ad43b	TCGA-TM-A84I-01A	706fe9e9-f8f3-4e4c-a786-1ac2186bb408	TCGA-TM-A84I-01A-11	b5d9cb8a-c0ac-4619-82ff-27447b662635	TCGA-TM-A84I-01A-11R	1.71	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.71	8.9	UV Spec	released	'--
TCGA-LGG	9ee6e821-3af2-42d7-9d14-f0ca455f338c	TCGA-CS-6186	5f73fa4e-fc7d-4fc0-8436-2241e57b9b69	TCGA-CS-6186-01A	19a9db79-701f-44e6-85f1-45b3e88088e5	TCGA-CS-6186-01A-12	0f1b0a37-af56-41bc-9e32-747ed8e7e801	TCGA-CS-6186-01A-12R	1.8	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.55	8.7	UV Spec	released	'--
TCGA-LGG	9ee6e821-3af2-42d7-9d14-f0ca455f338c	TCGA-CS-6186	5f73fa4e-fc7d-4fc0-8436-2241e57b9b69	TCGA-CS-6186-01A	19a9db79-701f-44e6-85f1-45b3e88088e5	TCGA-CS-6186-01A-12	929a98a0-6d40-4797-b05c-79d20f2a1bc1	TCGA-CS-6186-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	9ee6e821-3af2-42d7-9d14-f0ca455f338c	TCGA-CS-6186	5f73fa4e-fc7d-4fc0-8436-2241e57b9b69	TCGA-CS-6186-01A	19a9db79-701f-44e6-85f1-45b3e88088e5	TCGA-CS-6186-01A-12	f5ddf662-5fbf-4adf-ab4e-7797c38989ee	TCGA-CS-6186-01A-12D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	9ee6e821-3af2-42d7-9d14-f0ca455f338c	TCGA-CS-6186	8443aa4f-9650-45f4-921b-927c1f00a31c	TCGA-CS-6186-10A	f00ff516-9fe9-45f4-b9e6-0666294419f0	TCGA-CS-6186-10A-01	89e9dc6e-d4cb-4d6d-aca1-f419300e0560	TCGA-CS-6186-10A-01D	1.9	'--	'--	DNA	D	'--	0.16	Chemical Lysis DNA Extraction	Yes	'--	'--	UV Spec	released	'--
TCGA-LGG	9ee6e821-3af2-42d7-9d14-f0ca455f338c	TCGA-CS-6186	8443aa4f-9650-45f4-921b-927c1f00a31c	TCGA-CS-6186-10A	f00ff516-9fe9-45f4-b9e6-0666294419f0	TCGA-CS-6186-10A-01	942566a6-3208-4677-ae28-0563bd7187cc	TCGA-CS-6186-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	5e36e3c6-194a-4393-9bb8-861edd86c8c2	TCGA-W9-A837-01A	4e978019-cc7b-42b2-9396-8eeaf92432e4	TCGA-W9-A837-01A-31-A617-42	93d10e7e-3a64-4c3c-84c5-94ab28ad591b	TCGA-W9-A837-01A-31-A617-42-X019-S03	'--	'--	'--	DNA	'--	'--	'--	'--	'--	'--	'--	'--	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	5e36e3c6-194a-4393-9bb8-861edd86c8c2	TCGA-W9-A837-01A	569ad817-7bba-4cb4-b55f-efdb53fb994b	TCGA-W9-A837-01A-11	a1a8ffc2-bd24-4106-bccc-6f41108dcc2b	TCGA-W9-A837-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	5e36e3c6-194a-4393-9bb8-861edd86c8c2	TCGA-W9-A837-01A	569ad817-7bba-4cb4-b55f-efdb53fb994b	TCGA-W9-A837-01A-11	ac4f86cc-fa6c-4630-91cb-2c9f40691787	TCGA-W9-A837-01A-11R	1.92	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.74	8.1	UV Spec	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	5e36e3c6-194a-4393-9bb8-861edd86c8c2	TCGA-W9-A837-01A	569ad817-7bba-4cb4-b55f-efdb53fb994b	TCGA-W9-A837-01A-11	f5ef395e-fa4d-4bcc-a45f-851dcc165e89	TCGA-W9-A837-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	881b33a7-0c19-4056-b16c-33737c68423c	TCGA-W9-A837-10A	908f4d38-d9e7-43a7-94fa-6ce0419bbcfe	TCGA-W9-A837-10A-01	9f998656-048f-4590-877d-f06a9e18c219	TCGA-W9-A837-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	732df38e-d32c-4d63-ac97-ad655e2e5732	TCGA-W9-A837	881b33a7-0c19-4056-b16c-33737c68423c	TCGA-W9-A837-10A	908f4d38-d9e7-43a7-94fa-6ce0419bbcfe	TCGA-W9-A837-10A-01	fff828db-dd51-4208-ad02-eda8f8b49671	TCGA-W9-A837-10A-01D	'--	'--	'--	DNA	D	'--	0.14	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0bcf0c-fa4c-4119-99d2-f722b781d20f	TCGA-FG-8182	0cf6be14-2f25-4361-ade5-7e5b6ca1063e	TCGA-FG-8182-01A	74bf6d10-e644-47d4-801c-3f1d44f3961d	TCGA-FG-8182-01A-11	4f1f3454-848a-44c7-a729-07dde9820abf	TCGA-FG-8182-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0bcf0c-fa4c-4119-99d2-f722b781d20f	TCGA-FG-8182	0cf6be14-2f25-4361-ade5-7e5b6ca1063e	TCGA-FG-8182-01A	74bf6d10-e644-47d4-801c-3f1d44f3961d	TCGA-FG-8182-01A-11	a3d4c0b9-1e65-4b42-ac38-4c5911e1a155	TCGA-FG-8182-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0bcf0c-fa4c-4119-99d2-f722b781d20f	TCGA-FG-8182	0cf6be14-2f25-4361-ade5-7e5b6ca1063e	TCGA-FG-8182-01A	74bf6d10-e644-47d4-801c-3f1d44f3961d	TCGA-FG-8182-01A-11	ce658bc1-0e4f-4cb4-881e-df46add30377	TCGA-FG-8182-01A-11R	'--	'--	'--	RNA	R	'--	0.14	mirVana (Allprep DNA) RNA	Yes	1.33	7.3	UV Spec	released	'--
TCGA-LGG	6a0bcf0c-fa4c-4119-99d2-f722b781d20f	TCGA-FG-8182	558e7fd5-0bb6-4ad5-9644-fd85491398a7	TCGA-FG-8182-10A	18c45af7-67e4-46a5-b7de-d834217b69f2	TCGA-FG-8182-10A-01	00ada253-d6cc-4193-87b5-0c02b5b3c5b8	TCGA-FG-8182-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0bcf0c-fa4c-4119-99d2-f722b781d20f	TCGA-FG-8182	558e7fd5-0bb6-4ad5-9644-fd85491398a7	TCGA-FG-8182-10A	18c45af7-67e4-46a5-b7de-d834217b69f2	TCGA-FG-8182-10A-01	129f10fd-ea02-4f33-a4cf-d9881292fdf8	TCGA-FG-8182-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	b60fce04-9779-42c0-8161-d29d8a1d7c64	TCGA-QH-A6X3	91178e78-a992-4c7a-9fe8-880494e75177	TCGA-QH-A6X3-01A	b8792782-8b65-48ab-b43b-4caabfccb4d6	TCGA-QH-A6X3-01A-21	69b9f8fa-babf-422a-b5b2-2fb5b2861c52	TCGA-QH-A6X3-01A-21R	1.94	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.31	7.8	UV Spec	released	'--
TCGA-LGG	b60fce04-9779-42c0-8161-d29d8a1d7c64	TCGA-QH-A6X3	91178e78-a992-4c7a-9fe8-880494e75177	TCGA-QH-A6X3-01A	b8792782-8b65-48ab-b43b-4caabfccb4d6	TCGA-QH-A6X3-01A-21	85b8f29b-f33c-474c-a71f-b8947ede9420	TCGA-QH-A6X3-01A-21D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	b60fce04-9779-42c0-8161-d29d8a1d7c64	TCGA-QH-A6X3	91178e78-a992-4c7a-9fe8-880494e75177	TCGA-QH-A6X3-01A	b8792782-8b65-48ab-b43b-4caabfccb4d6	TCGA-QH-A6X3-01A-21	f5f63261-6f6b-457f-865b-33ae5270e59b	TCGA-QH-A6X3-01A-21W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	b60fce04-9779-42c0-8161-d29d8a1d7c64	TCGA-QH-A6X3	b153d553-d16b-4c2e-af42-0dc1f0949298	TCGA-QH-A6X3-10B	ca251979-e243-402c-9693-067ea8a96ad5	TCGA-QH-A6X3-10B-01	06de93c6-471c-4e23-bf08-d12b0f16701d	TCGA-QH-A6X3-10B-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	b60fce04-9779-42c0-8161-d29d8a1d7c64	TCGA-QH-A6X3	b153d553-d16b-4c2e-af42-0dc1f0949298	TCGA-QH-A6X3-10B	ca251979-e243-402c-9693-067ea8a96ad5	TCGA-QH-A6X3-10B-01	0c4e3481-7d08-440e-b64b-dead673d9516	TCGA-QH-A6X3-10B-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	65d05a38-f697-4d13-8a8b-61c76e90a716	TCGA-P5-A5ET-10A	f75f973d-283c-411c-b80a-cb6d9f26c98d	TCGA-P5-A5ET-10A-01	0cde832f-a5fa-4035-a1fe-34dcf6f6e1e1	TCGA-P5-A5ET-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	65d05a38-f697-4d13-8a8b-61c76e90a716	TCGA-P5-A5ET-10A	f75f973d-283c-411c-b80a-cb6d9f26c98d	TCGA-P5-A5ET-10A-01	c945d61c-5859-4208-aabd-2f7010c363f0	TCGA-P5-A5ET-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	0cfcb883-2fc7-405c-b111-b3b82480e43c	TCGA-P5-A5ET-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	18cba117-5d64-4e16-ba72-8da52c271163	TCGA-P5-A5ET-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	d87742fd-ff94-4ef0-bbf4-5dd5a185a0e7	TCGA-P5-A5ET	d6725a25-19cd-49c3-96ba-a3fe3299ad0d	TCGA-P5-A5ET-01A	2cd9cdf1-7615-4641-b65f-18cdf098ab0b	TCGA-P5-A5ET-01A-11	facc315d-fd9c-4d2c-9b15-578b91e1aa91	TCGA-P5-A5ET-01A-11R	1.84	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.6	7.8	UV Spec	released	'--
TCGA-LGG	dd7b23a7-b41b-4670-9fc8-78895fb00cff	TCGA-HT-8563	0c9258a7-d24d-4804-988b-aea0adfc3fe7	TCGA-HT-8563-01A	ba87386e-fb74-4f2a-8788-ad04f3d70de2	TCGA-HT-8563-01A-11	74851859-822a-4261-894e-5276848dd049	TCGA-HT-8563-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G X	Yes	'--	'--	'--	released	'--
TCGA-LGG	dd7b23a7-b41b-4670-9fc8-78895fb00cff	TCGA-HT-8563	0c9258a7-d24d-4804-988b-aea0adfc3fe7	TCGA-HT-8563-01A	ba87386e-fb74-4f2a-8788-ad04f3d70de2	TCGA-HT-8563-01A-11	7fcc5c4d-b105-4dc3-bd74-c039cedcf824	TCGA-HT-8563-01A-11R	'--	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.21	8.5	UV Spec	released	'--
TCGA-LGG	dd7b23a7-b41b-4670-9fc8-78895fb00cff	TCGA-HT-8563	0c9258a7-d24d-4804-988b-aea0adfc3fe7	TCGA-HT-8563-01A	ba87386e-fb74-4f2a-8788-ad04f3d70de2	TCGA-HT-8563-01A-11	b9568eeb-f811-4adc-b943-266781cfb9b8	TCGA-HT-8563-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	dd7b23a7-b41b-4670-9fc8-78895fb00cff	TCGA-HT-8563	d83c0f90-96a9-4474-b7a1-699cb83dd040	TCGA-HT-8563-10A	86427d7c-133c-4ebb-a696-5fc4a970049f	TCGA-HT-8563-10A-01	9d9ee092-e49e-4103-8b22-36c6c76a8080	TCGA-HT-8563-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	dd7b23a7-b41b-4670-9fc8-78895fb00cff	TCGA-HT-8563	d83c0f90-96a9-4474-b7a1-699cb83dd040	TCGA-HT-8563-10A	86427d7c-133c-4ebb-a696-5fc4a970049f	TCGA-HT-8563-10A-01	e67ac042-35ab-432a-af35-9e01d74da413	TCGA-HT-8563-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G X	Yes	'--	'--	'--	released	'--
TCGA-LGG	da13446a-c4dc-4d02-80c8-410273925ac4	TCGA-FG-A6IZ	40fcf5b5-8d36-4f41-8871-4313b4df4af3	TCGA-FG-A6IZ-01A	4eef9b4e-1f6b-4d89-a1a7-22a8f8565b70	TCGA-FG-A6IZ-01A-11	6a62c26d-d87e-4e73-9a59-991b94bc29e8	TCGA-FG-A6IZ-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	da13446a-c4dc-4d02-80c8-410273925ac4	TCGA-FG-A6IZ	40fcf5b5-8d36-4f41-8871-4313b4df4af3	TCGA-FG-A6IZ-01A	4eef9b4e-1f6b-4d89-a1a7-22a8f8565b70	TCGA-FG-A6IZ-01A-11	c84cae69-a6ab-4ae0-82dd-2cf762490760	TCGA-FG-A6IZ-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	da13446a-c4dc-4d02-80c8-410273925ac4	TCGA-FG-A6IZ	40fcf5b5-8d36-4f41-8871-4313b4df4af3	TCGA-FG-A6IZ-01A	4eef9b4e-1f6b-4d89-a1a7-22a8f8565b70	TCGA-FG-A6IZ-01A-11	f95811d2-e6fe-40c5-b6b3-6b53af1f3c73	TCGA-FG-A6IZ-01A-11R	1.88	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.46	8.3	UV Spec	released	'--
TCGA-LGG	da13446a-c4dc-4d02-80c8-410273925ac4	TCGA-FG-A6IZ	d6ce354f-ec0b-4d49-869b-0d04db1c5c42	TCGA-FG-A6IZ-10A	0f5b16c0-6373-4f6b-9951-2721fa215165	TCGA-FG-A6IZ-10A-01	605c8a10-d1f6-48b7-a122-277937701df2	TCGA-FG-A6IZ-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	da13446a-c4dc-4d02-80c8-410273925ac4	TCGA-FG-A6IZ	d6ce354f-ec0b-4d49-869b-0d04db1c5c42	TCGA-FG-A6IZ-10A	0f5b16c0-6373-4f6b-9951-2721fa215165	TCGA-FG-A6IZ-10A-01	e8394c9f-8e5f-4979-b9f3-ee4db31b3c89	TCGA-FG-A6IZ-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	da735a88-d811-49f1-9091-a097c59ed68e	TCGA-DB-A64L	1c19e337-a0be-48c2-a04e-b76edc58992c	TCGA-DB-A64L-01A	7df1c933-ec41-4c6b-a125-b8a8d324531d	TCGA-DB-A64L-01A-11	5156c779-6bc5-4611-9e94-3f22121f0628	TCGA-DB-A64L-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	da735a88-d811-49f1-9091-a097c59ed68e	TCGA-DB-A64L	1c19e337-a0be-48c2-a04e-b76edc58992c	TCGA-DB-A64L-01A	7df1c933-ec41-4c6b-a125-b8a8d324531d	TCGA-DB-A64L-01A-11	7c1e7959-1451-418b-9f87-6e4a7cefbc6c	TCGA-DB-A64L-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	da735a88-d811-49f1-9091-a097c59ed68e	TCGA-DB-A64L	1c19e337-a0be-48c2-a04e-b76edc58992c	TCGA-DB-A64L-01A	7df1c933-ec41-4c6b-a125-b8a8d324531d	TCGA-DB-A64L-01A-11	c94b27e5-d918-490f-8bf1-a1df92261d45	TCGA-DB-A64L-01A-11R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.66	8.0	UV Spec	released	'--
TCGA-LGG	da735a88-d811-49f1-9091-a097c59ed68e	TCGA-DB-A64L	83979865-b4eb-4937-9e6c-70b7be2f910e	TCGA-DB-A64L-10A	50877a91-16c6-47c3-af20-a0402584d279	TCGA-DB-A64L-10A-01	20c18f21-ab60-4b08-8a20-ee02afbc5f3c	TCGA-DB-A64L-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	da735a88-d811-49f1-9091-a097c59ed68e	TCGA-DB-A64L	83979865-b4eb-4937-9e6c-70b7be2f910e	TCGA-DB-A64L-10A	50877a91-16c6-47c3-af20-a0402584d279	TCGA-DB-A64L-10A-01	7797f101-6ded-430b-a48d-97c1c4ff564d	TCGA-DB-A64L-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	0efaf8f9-177c-4ffb-b03f-f0316adf5dc1	TCGA-DU-A7TI	82f11899-e89a-4855-8786-927f4912baee	TCGA-DU-A7TI-01A	fe7d648f-a095-4e4f-8f9b-0ba174abe1a4	TCGA-DU-A7TI-01A-11	772ce28a-ef8a-4cd6-a1d2-a2ec7f30e1b8	TCGA-DU-A7TI-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	0efaf8f9-177c-4ffb-b03f-f0316adf5dc1	TCGA-DU-A7TI	82f11899-e89a-4855-8786-927f4912baee	TCGA-DU-A7TI-01A	fe7d648f-a095-4e4f-8f9b-0ba174abe1a4	TCGA-DU-A7TI-01A-11	8600a096-8a37-4c17-860e-5721650906cb	TCGA-DU-A7TI-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	0efaf8f9-177c-4ffb-b03f-f0316adf5dc1	TCGA-DU-A7TI	82f11899-e89a-4855-8786-927f4912baee	TCGA-DU-A7TI-01A	fe7d648f-a095-4e4f-8f9b-0ba174abe1a4	TCGA-DU-A7TI-01A-11	f889f431-4aa4-46d1-8e90-c2daae030ec6	TCGA-DU-A7TI-01A-11R	1.92	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.55	8.5	UV Spec	released	'--
TCGA-LGG	0efaf8f9-177c-4ffb-b03f-f0316adf5dc1	TCGA-DU-A7TI	abef0187-ecf3-4b0d-a922-82cb77fc2c44	TCGA-DU-A7TI-10A	dc3bd346-d3f0-48cc-bfc4-9cccb8f92b3d	TCGA-DU-A7TI-10A-01	03879287-2205-4405-8883-c510b702bdd1	TCGA-DU-A7TI-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-LGG	0efaf8f9-177c-4ffb-b03f-f0316adf5dc1	TCGA-DU-A7TI	abef0187-ecf3-4b0d-a922-82cb77fc2c44	TCGA-DU-A7TI-10A	dc3bd346-d3f0-48cc-bfc4-9cccb8f92b3d	TCGA-DU-A7TI-10A-01	b4a142c4-1cab-4bc5-bdb2-8f0fd4384808	TCGA-DU-A7TI-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	dbfaccb0-e8c0-48e8-9aef-570267574822	TCGA-HT-7473	996fe719-74d2-433b-9e73-76ed2775dde9	TCGA-HT-7473-10A	fdb86b35-f56f-4584-bcbe-1d88647538de	TCGA-HT-7473-10A-01	3c60d18a-34fc-4e3d-927d-8881ba0d4cda	TCGA-HT-7473-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-LGG	dbfaccb0-e8c0-48e8-9aef-570267574822	TCGA-HT-7473	996fe719-74d2-433b-9e73-76ed2775dde9	TCGA-HT-7473-10A	fdb86b35-f56f-4584-bcbe-1d88647538de	TCGA-HT-7473-10A-01	3ca90a8b-cb61-4c5c-93ee-5bebd21e2e30	TCGA-HT-7473-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	'--
